Month	Year	Snowfall
1	1890	14.8
2	1890	11.8
3	1890	16.0
4	1890	0.0
5	1890	0.0
6	1890	0.0
7	1890	0.0
8	1890	0.0
9	1890	0.0
10	1890	0.0
11	1890	0.0
12	1890	0.0
1	1891	12.5
2	1891	14.0
3	1891	20.3
4	1891	0.0
5	1891	0.0
6	1891	0.0
7	1891	0.0
8	1891	0.0
9	1891	0.0
10	1891	0.0
11	1891	1.2
12	1891	2.5
1	1892	14.6
2	1892	35.3
3	1892	4.5
4	1892	7.9
5	1892	0.0
6	1892	0.0
7	1892	0.0
8	1892	0.0
9	1892	0.0
10	1892	0.0
11	1892	0.4
12	1892	18.5
1	1893	15.0
2	1893	21.6
3	1893	0.0
4	1893	8.5
5	1893	0.0
6	1893	0.0
7	1893	0.0
8	1893	0.0
9	1893	0.0
10	1893	0.0
11	1893	6.4
12	1893	13.5
1	1894	13.9
2	1894	8.8
3	1894	3.8
4	1894	0.5
5	1894	0.0
6	1894	0.0
7	1894	0.0
8	1894	0.0
9	1894	0.0
10	1894	0.0
11	1894	0.0
12	1894	5.2
1	1895	9.5
2	1895	9.5
3	1895	14.5
4	1895	0.0
5	1895	0.0
6	1895	0.0
7	1895	0.0
8	1895	0.0
9	1895	0.0
10	1895	0.0
11	1895	2.2
12	1895	8.6
1	1896	18.2
2	1896	10.9
3	1896	3.3
4	1896	0.0
5	1896	0.0
6	1896	0.0
7	1896	0.0
8	1896	0.0
9	1896	0.0
10	1896	0.0
11	1896	8.1
12	1896	7.8
1	1897	16.3
2	1897	11.5
3	1897	6.0
4	1897	2.2
5	1897	0.0
6	1897	0.0
7	1897	0.0
8	1897	0.0
9	1897	0.0
10	1897	0.0
11	1897	17.8
12	1897	7.5
1	1898	6.1
2	1898	30.2
3	1898	9.3
4	1898	0.0
5	1898	0.0
6	1898	0.0
7	1898	0.0
8	1898	0.0
9	1898	0.0
10	1898	0.0
11	1898	0.1
12	1898	0.0
1	1899	8.3
2	1899	9.0
3	1899	7.6
4	1899	0.0
5	1899	0.0
6	1899	0.0
7	1899	0.0
8	1899	0.0
9	1899	0.0
10	1899	0.0
11	1899	0.1
12	1899	0.8
1	1900	7.8
2	1900	8.8
3	1900	0.0
4	1900	0.0
5	1900	0.0
6	1900	0.0
7	1900	0.0
8	1900	0.0
9	1900	0.0
10	1900	0.0
11	1900	0.0
12	1900	12.6
1	1901	11.0
2	1901	13.0
3	1901	7.5
4	1901	0.0
5	1901	0.0
6	1901	0.0
7	1901	0.0
8	1901	0.0
9	1901	0.0
10	1901	0.0
11	1901	0.0
12	1901	22.8
1	1902	4.2
2	1902	14.7
3	1902	0.3
4	1902	0.0
5	1902	0.0
6	1902	0.0
7	1902	0.0
8	1902	0.0
9	1902	0.0
10	1902	0.0
11	1902	0.0
12	1902	10.6
1	1903	35.7
2	1903	16.5
3	1903	8.9
4	1903	1.2
5	1903	0.0
6	1903	0.0
7	1903	0.0
8	1903	0.0
9	1903	0.0
10	1903	0.0
11	1903	0.0
12	1903	12.0
1	1904	21.3
2	1904	8.0
3	1904	3.6
4	1904	0.0
5	1904	0.0
6	1904	0.0
7	1904	0.0
8	1904	0.0
9	1904	0.0
10	1904	0.0
11	1904	0.0
12	1904	3.5
1	1905	6.1
2	1905	6.1
3	1905	21.9
4	1905	0.0
5	1905	0.0
6	1905	0.0
7	1905	0.0
8	1905	0.0
9	1905	0.0
10	1905	0.0
11	1905	1.1
12	1905	15.5
1	1906	16.1
2	1906	25.5
3	1906	6.6
4	1906	3.1
5	1906	0.0
6	1906	0.0
7	1906	0.0
8	1906	0.0
9	1906	0.0
10	1906	0.0
11	1906	0.0
12	1906	7.0
1	1907	4.3
2	1907	9.3
3	1907	4.8
4	1907	0.8
5	1907	0.0
6	1907	0.0
7	1907	0.0
8	1907	0.0
9	1907	0.0
10	1907	0.0
11	1907	0.0
12	1907	3.5
1	1908	11.2
2	1908	2.3
3	1908	3.1
4	1908	0.0
5	1908	0.0
6	1908	0.0
7	1908	0.0
8	1908	0.0
9	1908	0.0
10	1908	0.0
11	1908	0.0
12	1908	12.3
1	1909	11.9
2	1909	12.6
3	1909	0.2
4	1909	0.0
5	1909	0.0
6	1909	0.0
7	1909	0.0
8	1909	0.0
9	1909	0.0
10	1909	0.0
11	1909	1.4
12	1909	8.2
1	1910	0.7
2	1910	19.5
3	1910	3.1
4	1910	7.7
5	1910	0.0
6	1910	0.0
7	1910	0.0
8	1910	0.0
9	1910	0.0
10	1910	0.0
11	1910	0.3
12	1910	3.7
1	1911	17.8
2	1911	0.2
3	1911	9.1
4	1911	0.5
5	1911	0.0
6	1911	0.0
7	1911	0.0
8	1911	0.0
9	1911	0.0
10	1911	0.0
11	1911	0.3
12	1911	9.2
1	1912	0.3
2	1912	7.7
3	1912	0.5
4	1912	1.4
5	1912	0.0
6	1912	0.0
7	1912	0.0
8	1912	0.0
9	1912	0.0
10	1912	0.4
11	1912	0.0
12	1912	0.9
1	1913	10.3
2	1913	20.6
3	1913	5.2
4	1913	2.0
5	1913	0.0
6	1913	0.0
7	1913	0.0
8	1913	0.0
9	1913	0.0
10	1913	0.0
11	1913	0.0
12	1913	4.1
1	1914	7.0
2	1914	5.1
3	1914	0.0
4	1914	6.1
5	1914	0.0
6	1914	0.0
7	1914	0.0
8	1914	0.0
9	1914	0.0
10	1914	0.0
11	1914	0.2
12	1914	6.7
1	1915	4.8
2	1915	30.3
3	1915	33.0
4	1915	4.2
5	1915	0.0
6	1915	0.0
7	1915	0.0
8	1915	0.0
9	1915	0.0
10	1915	0.0
11	1915	0.7
12	1915	9.5
1	1916	13.1
2	1916	8.9
3	1916	12.9
4	1916	9.1
5	1916	0.0
6	1916	0.0
7	1916	0.0
8	1916	0.0
9	1916	0.0
10	1916	0.0
11	1916	2.2
12	1916	7.0
1	1917	13.8
2	1917	5.7
3	1917	12.8
4	1917	4.2
5	1917	0.0
6	1917	0.0
7	1917	0.0
8	1917	0.0
9	1917	0.0
10	1917	0.0
11	1917	0.0
12	1917	8.4
1	1918	4.1
2	1918	6.2
3	1918	2.4
4	1918	0.0
5	1918	0.0
6	1918	0.0
7	1918	0.0
8	1918	0.0
9	1918	0.0
10	1918	0.0
11	1918	0.2
12	1918	2.9
1	1919	24.8
2	1919	32.5
3	1919	11.0
4	1919	2.0
5	1919	0.0
6	1919	0.0
7	1919	0.0
8	1919	0.0
9	1919	0.0
10	1919	0.0
11	1919	1.8
12	1919	5.5
1	1920	3.6
2	1920	23.2
3	1920	0.0
4	1920	0.0
5	1920	0.0
6	1920	0.0
7	1920	0.0
8	1920	0.0
9	1920	0.0
10	1920	0.0
11	1920	1.6
12	1920	4.4
1	1921	2.7
2	1921	15.5
3	1921	10.1
4	1921	3.3
5	1921	0.0
6	1921	0.0
7	1921	0.0
8	1921	0.0
9	1921	0.0
10	1921	0.0
11	1921	0.9
12	1921	14.7
1	1922	28.0
2	1922	14.3
3	1922	10.6
4	1922	0.0
5	1922	0.0
6	1922	0.0
7	1922	0.0
8	1922	0.0
9	1922	0.0
10	1922	0.0
11	1922	0.0
12	1922	3.0
1	1923	8.5
2	1923	10.4
3	1923	7.4
4	1923	3.0
5	1923	0.0
6	1923	0.0
7	1923	0.0
8	1923	0.0
9	1923	0.0
10	1923	0.0
11	1923	0.5
12	1923	0.2
1	1924	20.7
2	1924	0.0
3	1924	0.0
4	1924	0.0
5	1924	0.0
6	1924	0.0
7	1924	0.0
8	1924	0.0
9	1924	0.0
10	1924	0.0
11	1924	0.0
12	1924	0.5
1	1925	7.4
2	1925	27.6
3	1925	2.8
4	1925	0.0
5	1925	0.0
6	1925	0.0
7	1925	0.0
8	1925	0.0
9	1925	0.0
10	1925	0.0
11	1925	0.0
12	1925	24.2
1	1926	16.1
2	1926	19.2
3	1926	0.6
4	1926	0.2
5	1926	0.0
6	1926	0.0
7	1926	0.0
8	1926	0.0
9	1926	0.0
10	1926	0.0
11	1926	0.5
12	1926	0.0
1	1927	5.1
2	1927	8.7
3	1927	6.5
4	1927	0.0
5	1927	0.0
6	1927	0.0
7	1927	0.0
8	1927	0.0
9	1927	0.0
10	1927	0.0
11	1927	1.4
12	1927	4.6
1	1928	13.5
2	1928	21.4
3	1928	4.0
4	1928	0.6
5	1928	0.0
6	1928	0.0
7	1928	0.0
8	1928	0.0
9	1928	0.0
10	1928	0.0
11	1928	3.0
12	1928	10.6
1	1929	7.7
2	1929	9.5
3	1929	0.6
4	1929	0.0
5	1929	0.0
6	1929	0.0
7	1929	0.0
8	1929	0.0
9	1929	0.0
10	1929	0.0
11	1929	0.1
12	1929	7.7
1	1930	11.7
2	1930	14.0
3	1930	7.3
4	1930	0.0
5	1930	0.0
6	1930	0.0
7	1930	0.0
8	1930	0.0
9	1930	0.0
10	1930	0.0
11	1930	0.0
12	1930	1.4
1	1931	6.2
2	1931	10.8
3	1931	5.8
4	1931	0.0
5	1931	0.0
6	1931	0.0
7	1931	0.0
8	1931	0.0
9	1931	0.0
10	1931	0.0
11	1931	0.0
12	1931	8.6
1	1932	1.3
2	1932	20.6
3	1932	5.1
4	1932	5.0
5	1932	0.0
6	1932	0.0
7	1932	0.0
8	1932	0.0
9	1932	0.0
10	1932	0.0
11	1932	2.9
12	1932	15.6
1	1933	0.8
2	1933	32.9
3	1933	10.5
4	1933	0.0
5	1933	0.0
6	1933	0.0
7	1933	0.0
8	1933	0.0
9	1933	0.0
10	1933	0.0
11	1933	0.0
